,subNum,reference,EOG,exclude
0,01,"['EMGL', 'EMGR']","['EOGL', 'EOGR', 'EOGT', 'EOGB']","['EXG7', 'EXG8', 'GSR1', 'GSR2', 'Erg1', 'Erg2', 'Resp', 'Plet', 'Temp']"
1,02,"['EMGL', 'EMGR']","['EOGL', 'EOGR', 'EOGT', 'EOGB']","['EXG7', 'EXG8', 'GSR1', 'GSR2', 'Erg1', 'Erg2', 'Resp', 'Plet', 'Temp']"
2,03,"['EMGL', 'EMGR']","['EOGL', 'EOGR', 'EOGT', 'EOGB']","['EXG7', 'EXG8', 'GSR1', 'GSR2', 'Erg1', 'Erg2', 'Resp', 'Plet', 'Temp']"
3,04,"['EMGL', 'EMGR']","['EOGL', 'EOGR', 'EOGT', 'EOGB']","['EXG7', 'EXG8', 'GSR1', 'GSR2', 'Erg1', 'Erg2', 'Resp', 'Plet', 'Temp']"
4,05,"['EMGL', 'EMGR']","['EOGL', 'EOGR', 'EOGT', 'EOGB']","['EXG7', 'EXG8', 'GSR1', 'GSR2', 'Erg1', 'Erg2', 'Resp', 'Plet', 'Temp']"
5,06,"['EMGL', 'EMGR']","['EOGL', 'EOGR', 'EOGT', 'EOGB']","['EXG7', 'EXG8', 'GSR1', 'GSR2', 'Erg1', 'Erg2', 'Resp', 'Plet', 'Temp']"
6,07,"['EMGL', 'EMGR']","['EOGL', 'EOGR', 'EOGT', 'EOGB']","['EXG7', 'EXG8', 'GSR1', 'GSR2', 'Erg1', 'Erg2', 'Resp', 'Plet', 'Temp']"
7,08,"['EMGL', 'EMGR']","['EOGL', 'EOGR', 'EOGT', 'EOGB']","['EXG7', 'EXG8', 'GSR1', 'GSR2', 'Erg1', 'Erg2', 'Resp', 'Plet', 'Temp']"
8,09,['EMGL'],"['EOGL', 'EOGR', 'EOGT', 'EOGB']","['EMGR', 'EXG7', 'EXG8', 'GSR1', 'GSR2', 'Erg1', 'Erg2', 'Resp', 'Plet', 'Temp']"
9,10,"['EMGL', 'EMGR']","['EOGL', 'EOGR', 'EOGT', 'EOGB']","['EXG7', 'EXG8', 'GSR1', 'GSR2', 'Erg1', 'Erg2', 'Resp', 'Plet', 'Temp']"
10,11,"['EMGL', 'EMGR']","['EOGL', 'EOGR', 'EOGT', 'EOGB']","['EXG7', 'EXG8', 'GSR1', 'GSR2', 'Erg1', 'Erg2', 'Resp', 'Plet', 'Temp']"
11,12,"['EMGL', 'EMGR']","['EOGL', 'EOGR', 'EOGT', 'EOGB']","['EXG7', 'EXG8', 'GSR1', 'GSR2', 'Erg1', 'Erg2', 'Resp', 'Plet', 'Temp']"
12,13,"['EMGL', 'EMGR']","['EOGL', 'EOGR', 'EOGT', 'EOGB']","['EXG7', 'EXG8', 'GSR1', 'GSR2', 'Erg1', 'Erg2', 'Resp', 'Plet', 'Temp']"
13,14,"['EMGL', 'EMGR']","['EOGL', 'EOGR', 'EOGT', 'EOGB']","['EXG7', 'EXG8', 'GSR1', 'GSR2', 'Erg1', 'Erg2', 'Resp', 'Plet', 'Temp']"
14,15,"['EMGL', 'EMGR']","['EOGL', 'EOGR', 'EOGT', 'EOGB']","['EXG7', 'EXG8', 'GSR1', 'GSR2', 'Erg1', 'Erg2', 'Resp', 'Plet', 'Temp']"
15,16,"['EMGL', 'EMGR']","['EOGL', 'EOGR', 'EOGT', 'EOGB']","['EXG7', 'EXG8', 'GSR1', 'GSR2', 'Erg1', 'Erg2', 'Resp', 'Plet', 'Temp']"
16,18,"['EMGL', 'EMGR']","['EOGL', 'EOGR', 'EOGT', 'EOGB']","['EXG7', 'EXG8', 'GSR1', 'GSR2', 'Erg1', 'Erg2', 'Resp', 'Plet', 'Temp']"
17,19,"['EMGL', 'EMGR']","['EOGL', 'EOGR', 'EOGT', 'EOGB']","['EXG7', 'EXG8', 'GSR1', 'GSR2', 'Erg1', 'Erg2', 'Resp', 'Plet', 'Temp']"
18,20,"['EMGL', 'EMGR']","['EOGL', 'EOGR', 'EOGT', 'EOGB']","['EXG7', 'EXG8', 'GSR1', 'GSR2', 'Erg1', 'Erg2', 'Resp', 'Plet', 'Temp']"
19,21,"['EMGL', 'EMGR']","['EOGL', 'EOGR', 'EOGT', 'EOGB']","['EXG7', 'EXG8', 'GSR1', 'GSR2', 'Erg1', 'Erg2', 'Resp', 'Plet', 'Temp']"
20,22,['EMGR'],"['EOGL', 'EOGR', 'EOGT', 'EOGB']","['EMGL', 'EXG7', 'EXG8', 'GSR1', 'GSR2', 'Erg1', 'Erg2', 'Resp', 'Plet', 'Temp']"
21,23,"['EMGL', 'EMGR']","['EOGL', 'EOGR', 'EOGT', 'EOGB']","['EXG7', 'EXG8', 'GSR1', 'GSR2', 'Erg1', 'Erg2', 'Resp', 'Plet', 'Temp']"
22,24,['EMGR'],"['EOGL', 'EOGR', 'EOGT', 'EOGB']","['EMGL', 'EXG7', 'EXG8', 'GSR1', 'GSR2', 'Erg1', 'Erg2', 'Resp', 'Plet', 'Temp']"
23,25,"['EMGL', 'EMGR']","['EOGL', 'EOGR', 'EOGT', 'EOGB']","['EXG7', 'EXG8', 'GSR1', 'GSR2', 'Erg1', 'Erg2', 'Resp', 'Plet', 'Temp']"
24,26,"['EMGL', 'EMGR']","['EOGL', 'EOGR', 'EOGT', 'EOGB']","['EXG7', 'EXG8', 'GSR1', 'GSR2', 'Erg1', 'Erg2', 'Resp', 'Plet', 'Temp']"
25,27,"['EMGL', 'EMGR']","['EOGL', 'EOGR', 'EOGT', 'EOGB']","['EXG7', 'EXG8', 'GSR1', 'GSR2', 'Erg1', 'Erg2', 'Resp', 'Plet', 'Temp']"
26,28,"['EMGL', 'EMGR']","['EOGL', 'EOGR', 'EOGT', 'EOGB']","['EXG7', 'EXG8', 'GSR1', 'GSR2', 'Erg1', 'Erg2', 'Resp', 'Plet', 'Temp']"
27,29,"['EMGL', 'EMGR']","['EOGL', 'EOGR', 'EOGT', 'EOGB']","['EXG7', 'EXG8', 'GSR1', 'GSR2', 'Erg1', 'Erg2', 'Resp', 'Plet', 'Temp']"
